,truth
cell_1,tag_4
cell_2,tag_6
cell_3,tag_4
cell_4,tag_4
cell_5,tag_6
cell_6,tag_6
cell_7,tag_4
cell_8,tag_3
cell_9,tag_3
cell_10,tag_6
cell_11,tag_1
cell_12,tag_1
cell_13,tag_1
cell_14,tag_6
cell_15,tag_3
cell_16,tag_4
cell_17,tag_1
cell_18,multiplet
cell_19,tag_2
cell_20,tag_3
cell_21,tag_1
cell_22,tag_6
cell_23,tag_6
cell_24,tag_5
cell_25,tag_6
cell_26,tag_5
cell_27,tag_4
cell_28,tag_5
cell_29,tag_5
cell_30,tag_2
cell_31,multiplet
cell_32,tag_1
cell_33,negative
cell_34,tag_4
cell_35,multiplet
cell_36,tag_6
cell_37,tag_3
cell_38,tag_5
cell_39,tag_2
cell_40,tag_6
cell_41,tag_2
cell_42,negative
cell_43,tag_4
cell_44,tag_4
cell_45,tag_3
cell_46,tag_4
cell_47,tag_6
cell_48,tag_3
cell_49,tag_6
cell_50,tag_4
cell_51,tag_5
cell_52,tag_2
cell_53,tag_1
cell_54,tag_6
cell_55,tag_5
cell_56,tag_4
cell_57,tag_2
cell_58,tag_4
cell_59,tag_4
cell_60,tag_6
cell_61,tag_3
cell_62,multiplet
cell_63,tag_5
cell_64,tag_6
cell_65,tag_1
cell_66,tag_3
cell_67,negative
cell_68,tag_3
cell_69,tag_5
cell_70,multiplet
cell_71,tag_4
cell_72,tag_6
cell_73,multiplet
cell_74,tag_2
cell_75,tag_4
cell_76,tag_3
cell_77,tag_2
cell_78,tag_2
cell_79,tag_2
cell_80,tag_4
cell_81,tag_5
cell_82,multiplet
cell_83,tag_2
cell_84,negative
cell_85,tag_2
cell_86,negative
cell_87,tag_2
cell_88,tag_6
cell_89,tag_1
cell_90,tag_5
cell_91,tag_5
cell_92,tag_1
cell_93,tag_6
cell_94,multiplet
cell_95,tag_6
cell_96,tag_2
cell_97,multiplet
cell_98,multiplet
cell_99,tag_2
cell_100,tag_4
cell_101,tag_3
cell_102,tag_1
cell_103,tag_1
cell_104,tag_2
cell_105,tag_2
cell_106,tag_5
cell_107,tag_4
cell_108,tag_5
cell_109,tag_6
cell_110,tag_2
cell_111,tag_6
cell_112,multiplet
cell_113,negative
cell_114,tag_3
cell_115,tag_6
cell_116,negative
cell_117,tag_4
cell_118,tag_4
cell_119,tag_2
cell_120,tag_6
cell_121,tag_6
cell_122,tag_1
cell_123,tag_1
cell_124,negative
cell_125,multiplet
cell_126,tag_5
cell_127,tag_3
cell_128,tag_4
cell_129,tag_4
